,Open,High,Low,Close,Adj Close,Volume,sentiment_score
2023-09-27,172.6199951171875,173.0399932861328,169.0500030517578,170.42999267578125,170.42999267578125,66921800,0.6908
2023-09-27,172.6199951171875,173.0399932861328,169.0500030517578,170.42999267578125,170.42999267578125,66921800,0.5574
2023-09-27,172.6199951171875,173.0399932861328,169.0500030517578,170.42999267578125,170.42999267578125,66921800,-0.6369
2023-09-27,172.6199951171875,173.0399932861328,169.0500030517578,170.42999267578125,170.42999267578125,66921800,-0.3612
2023-09-27,172.6199951171875,173.0399932861328,169.0500030517578,170.42999267578125,170.42999267578125,66921800,0.34
2023-09-27,172.6199951171875,173.0399932861328,169.0500030517578,170.42999267578125,170.42999267578125,66921800,0.4019
2023-09-27,172.6199951171875,173.0399932861328,169.0500030517578,170.42999267578125,170.42999267578125,66921800,0.0
2023-09-27,172.6199951171875,173.0399932861328,169.0500030517578,170.42999267578125,170.42999267578125,66921800,-0.3182
2023-09-27,172.6199951171875,173.0399932861328,169.0500030517578,170.42999267578125,170.42999267578125,66921800,0.0
2023-09-27,172.6199951171875,173.0399932861328,169.0500030517578,170.42999267578125,170.42999267578125,66921800,0.0
2023-09-27,172.6199951171875,173.0399932861328,169.0500030517578,170.42999267578125,170.42999267578125,66921800,0.0
2023-09-27,172.6199951171875,173.0399932861328,169.0500030517578,170.42999267578125,170.42999267578125,66921800,0.5574
2023-09-27,172.6199951171875,173.0399932861328,169.0500030517578,170.42999267578125,170.42999267578125,66921800,0.4019
2023-09-27,172.6199951171875,173.0399932861328,169.0500030517578,170.42999267578125,170.42999267578125,66921800,0.25
2023-09-27,172.6199951171875,173.0399932861328,169.0500030517578,170.42999267578125,170.42999267578125,66921800,0.0
2023-09-27,172.6199951171875,173.0399932861328,169.0500030517578,170.42999267578125,170.42999267578125,66921800,0.4767
2023-09-27,172.6199951171875,173.0399932861328,169.0500030517578,170.42999267578125,170.42999267578125,66921800,0.0
2023-09-27,172.6199951171875,173.0399932861328,169.0500030517578,170.42999267578125,170.42999267578125,66921800,0.836
2023-09-27,172.6199951171875,173.0399932861328,169.0500030517578,170.42999267578125,170.42999267578125,66921800,0.4215
2023-09-28,169.33999633789062,172.02999877929688,167.6199951171875,170.69000244140625,170.69000244140625,56294400,0.6369
2023-09-28,169.33999633789062,172.02999877929688,167.6199951171875,170.69000244140625,170.69000244140625,56294400,-0.3612
2023-09-28,169.33999633789062,172.02999877929688,167.6199951171875,170.69000244140625,170.69000244140625,56294400,-0.0772
2023-09-28,169.33999633789062,172.02999877929688,167.6199951171875,170.69000244140625,170.69000244140625,56294400,0.3182
2023-09-28,169.33999633789062,172.02999877929688,167.6199951171875,170.69000244140625,170.69000244140625,56294400,0.0
2023-09-28,169.33999633789062,172.02999877929688,167.6199951171875,170.69000244140625,170.69000244140625,56294400,-0.3612
2023-09-28,169.33999633789062,172.02999877929688,167.6199951171875,170.69000244140625,170.69000244140625,56294400,0.0
2023-09-28,169.33999633789062,172.02999877929688,167.6199951171875,170.69000244140625,170.69000244140625,56294400,0.0
2023-09-28,169.33999633789062,172.02999877929688,167.6199951171875,170.69000244140625,170.69000244140625,56294400,-0.2263
2023-09-28,169.33999633789062,172.02999877929688,167.6199951171875,170.69000244140625,170.69000244140625,56294400,0.0
2023-09-28,169.33999633789062,172.02999877929688,167.6199951171875,170.69000244140625,170.69000244140625,56294400,0.0
2023-09-28,169.33999633789062,172.02999877929688,167.6199951171875,170.69000244140625,170.69000244140625,56294400,-0.3818
2023-09-28,169.33999633789062,172.02999877929688,167.6199951171875,170.69000244140625,170.69000244140625,56294400,0.0
2023-09-28,169.33999633789062,172.02999877929688,167.6199951171875,170.69000244140625,170.69000244140625,56294400,-0.8266
2023-09-28,169.33999633789062,172.02999877929688,167.6199951171875,170.69000244140625,170.69000244140625,56294400,0.0
2023-09-28,169.33999633789062,172.02999877929688,167.6199951171875,170.69000244140625,170.69000244140625,56294400,0.4767
2023-09-28,169.33999633789062,172.02999877929688,167.6199951171875,170.69000244140625,170.69000244140625,56294400,0.0
2023-09-28,169.33999633789062,172.02999877929688,167.6199951171875,170.69000244140625,170.69000244140625,56294400,-0.8266
2023-09-28,169.33999633789062,172.02999877929688,167.6199951171875,170.69000244140625,170.69000244140625,56294400,0.0
