date,headline,neg,neu,pos,sentiment_score,day_of_week,week
2023-09-29,Apple met with Chinese officials to discuss app restrictions: Report,0.0,1.0,0.0,0.0,Friday,40
2023-09-29,Megacap Slump Is Testing Apples Safe-Haven Status,0.0,1.0,0.0,0.0,Friday,40
2023-09-29,Apples Latest China Challenge: A Crackdown That Could Shrink Its App Store,0.0,0.885,0.115,0.0772,Friday,40
2023-09-29,5 Things to Know Before Markets Open,0.0,1.0,0.0,0.0,Friday,40
2023-09-29,Better Buy: Amazon vs Apple,0.0,0.395,0.605,0.5574,Friday,40
2023-09-29,"1 Green Flag for Apple in 2023, and 1 Red Flag",0.0,1.0,0.0,0.0,Friday,40
2023-09-29,"Apple, China Met to Discuss Beijings Crackdown on Western Apps",0.0,1.0,0.0,0.0,Friday,40
2023-09-29,"UPDATE 1-Apple, China met to discuss Beijing's crackdown on western apps- WSJ",0.0,1.0,0.0,0.0,Friday,40
2023-09-29,Why stocks may just roll into an October correction,0.0,1.0,0.0,0.0,Friday,40
2023-09-29,"These 7 Dividend Stocks Pay $98 Billion Annually, Combined, to Their Shareholders",0.123,0.877,0.0,-0.1027,Friday,40
2023-09-29,"Apple, China met to discuss Beijing's crackdown on western apps- WSJ",0.0,1.0,0.0,0.0,Friday,40
2023-09-29,83% of Warren Buffett's $347 Billion Portfolio Is Invested in Only 8 Stocks,0.0,1.0,0.0,0.0,Friday,40
2023-09-29,French authorities approve Apple's software update of its iphone 12,0.0,1.0,0.0,0.0,Friday,40
2023-09-29,10 Best India ETFs,0.0,0.417,0.583,0.6369,Friday,40
2023-09-28,Microsoft Discussed Selling Bing to Apple as Google Replacement,0.0,1.0,0.0,0.0,Thursday,40
2023-09-28,Fitbit Charge 6 brings better heart rate tracking and deeper Google integration,0.0,0.775,0.225,0.4404,Thursday,40
2023-09-28,Warren Buffett Stocks: What's Inside Berkshire Hathaway's Portfolio?,0.0,1.0,0.0,0.0,Thursday,40
2023-09-28,Apple iPhone 15 Pro users reporting overheating issues,0.0,1.0,0.0,0.0,Thursday,40
