date,sentiment_score
2023-09-11,0.09133124999999999
2023-09-12,0.04164022988505747
2023-09-13,0.0974231884057971
2023-09-14,0.08231739130434783
2023-09-15,0.034137209302325576
2023-09-16,0.21154285714285712
2023-09-17,0.16117777777777778
2023-09-18,0.17354857142857144
2023-09-19,0.08585714285714285
2023-09-20,0.09751612903225806
2023-09-21,-0.03139999999999999
2023-09-22,0.17745789473684212
2023-09-23,0.08416249999999999
2023-09-24,-0.08413000000000001
2023-09-25,0.014650000000000005
2023-09-26,0.17387027027027027
2023-09-27,0.0919
2023-09-28,0.08391428571428572
2023-09-29,0.058272413793103446
2023-09-30,0.11181428571428571
2023-10-01,0.38205999999999996
2023-10-02,0.14864137931034482
2023-10-03,0.220275
